UO;UO_Nome;Curso;Curso_Nome;Grupo_Grau;Grupo_Grau_Nome;CNAEF_1D;CNAEF_1D_Nome;CNAEF_2D;CNAEF_2D_Nome;CNAEF_3D;CNAEF_3D_Nome;A1984_2004_TD_PE_6M;A2005_TD_PE_6M;A2006_TD_PE_6M;A2007_TD_PE_6M;A2008_TD_PE_6M;A2009_TD_PE_6M;A2010_TD_PE_6M;A2011_TD_PE_6M;A2012_TD_PE_6M;A2013_TD_PE_6M;A2014_TD_PE_6M;A1984_2004_TD_PE_6_12M;A2005_TD_PE_6_12M;A2006_TD_PE_6_12M;A2007_TD_PE_6_12M;A2008_TD_PE_6_12M;A2009_TD_PE_6_12M;A2010_TD_PE_6_12M;A2011_TD_PE_6_12M;A2012_TD_PE_6_12M;A2013_TD_PE_6_12M;A2014_TD_PE_6_12M;A1984_2004_TD_PE_12M;A2005_TD_PE_12M;A2006_TD_PE_12M;A2007_TD_PE_12M;A2008_TD_PE_12M;A2009_TD_PE_12M;A2010_TD_PE_12M;A2011_TD_PE_12M;A2012_TD_PE_12M;A2013_TD_PE_12M;A2014_TD_PE_12M;A1984_2004_TD_NE_6M;A2005_TD_NE_6M;A2006_TD_NE_6M;A2007_TD_NE_6M;A2008_TD_NE_6M;A2009_TD_NE_6M;A2010_TD_NE_6M;A2011_TD_NE_6M;A2012_TD_NE_6M;A2013_TD_NE_6M;A2014_TD_NE_6M;A1984_2004_TD_NE_6_12M;A2005_TD_NE_6_12M;A2006_TD_NE_6_12M;A2007_TD_NE_6_12M;A2008_TD_NE_6_12M;A2009_TD_NE_6_12M;A2010_TD_NE_6_12M;A2011_TD_NE_6_12M;A2012_TD_NE_6_12M;A2013_TD_NE_6_12M;A2014_TD_NE_6_12M;A1984_2004_TD_NE_12M;A2005_TD_NE_12M;A2006_TD_NE_12M;A2007_TD_NE_12M;A2008_TD_NE_12M;A2009_TD_NE_12M;A2010_TD_NE_12M;A2011_TD_NE_12M;A2012_TD_NE_12M;A2013_TD_NE_12M;A2014_TD_NE_12M;Dip_1984_2004;Dip_2005;Dip_2006;Dip_2007;Dip_2008;Dip_2009;Dip_2010;Dip_2011;Dip_2012;Dip_2013;A1984_2004_Total;A2005_Total;A2006_Total;A2007_Total;A2008_Total;A2009_Total;A2010_Total;A2011_Total;A2012_Total;A2013_Total;A2014_Total;A1984_2014_TOTAL
0130;Universidade dos Açores - Ponta Delgada;9699;Ciências Biológicas e da Saúde;L1;Licenciatura 1.º Ciclo;400;Ciências, Matemática e Informática;420;Ciências da Vida;421;Biologia e Bioquímica;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;17;14;15;30;15;14;0;0;0;0;0;0;0;1;0;0;0;1
0130;Universidade dos Açores - Ponta Delgada;9718;Comunicação Social e Cultura;L1;Licenciatura 1.º Ciclo;300;Ciências Sociais, Comércio e Direito;320;Informação e Jornalismo;321;Jornalismo e Reportagem;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;16;18;17;20;15;17;0;0;0;0;0;0;1;0;0;0;0;1
0130;Universidade dos Açores - Ponta Delgada;9756;Estudos Europeus e Política Internacional;L1;Licenciatura 1.º Ciclo;300;Ciências Sociais, Comércio e Direito;310;Ciências Sociais e do Comportamento;313;Ciência Política e Cidadania;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;21;13;9;9;14;13;18;0;0;0;0;0;0;0;1;0;0;0;1
0130;Universidade dos Açores - Ponta Delgada;9798;Relações Públicas e Comunicação;L1;Licenciatura 1.º Ciclo;300;Ciências Sociais, Comércio e Direito;340;Ciências Empresariais;342;Marketing e Publicidade;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20;27;30;31;46;33;32;0;0;0;0;1;0;0;0;0;0;0;1
0130;Universidade dos Açores - Ponta Delgada;9853;Educação Básica;L1;Licenciatura 1.º Ciclo;100;Educação;140;Formação de Professores/Formadores e Ciências da Educação;144;Formação de Professores do Ensino Básico (1.º e 2.º Ciclos);;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;35;48;40;37;37;0;0;0;0;0;0;0;0;0;1;1;2
0200;Universidade do Algarve;0054;Biologia e Geologia (Ensino de);L;Licenciatura;100;Educação;140;Formação de Professores/Formadores e Ciências da Educação;145;Formação de Professores de Áreas Disciplinares Específicas;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;100;;;;;;;;;;1;0;0;0;0;0;0;0;0;0;0;1
0200;Universidade do Algarve;0057;Biologia Marinha e Pescas;L;Licenciatura;400;Ciências, Matemática e Informática;420;Ciências da Vida;421;Biologia e Bioquímica;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;;;;;;;;;;3;;;;;;;;;;;3;;;;;;;;;;;313;;;;;;;;;;9;0;0;0;0;0;0;0;0;0;0;9
0200;Universidade do Algarve;0156;Economia;L;Licenciatura;300;Ciências Sociais, Comércio e Direito;310;Ciências Sociais e do Comportamento;314;Economia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;;;;;;;;;;;1;;;;;;;;;;;1;;;;;;;;;;;263;;;;;;;;;;7;0;0;0;0;0;0;0;0;0;0;7
0200;Universidade do Algarve;0205;Engenharia Agronómica;L;Licenciatura;600;Agricultura;620;Agricultura, Silvicultura e Pescas;621;Produção Agrícola e Animal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;1;;;;;;;;;;;2;;;;;;;;;;;20;;;;;;;;;;4;0;0;0;0;0;0;0;0;0;0;4
0200;Universidade do Algarve;0226;Engenharia Biotecnológica;L;Licenciatura;500;Engenharia, Indústrias Transformadoras e Construção;520;Engenharia e Técnicas Afins;524;Tecnologia dos Processos Químicos;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;21;;;;;;;;;;1;0;0;0;0;0;0;0;0;0;0;1
