CodigoFaculdade;NomeFaculdade;CodigoCurso;NomeCurso;Grau;TotalDesempregados;TotalDiplomados
0204;Universidade do Algarve - Faculdade de Economia;9081;Economia;LICENCIATURA;31;166
0204;Universidade do Algarve - Faculdade de Economia;9152;Gestão de Empresas;LICENCIATURA;54;308
0204;Universidade do Algarve - Faculdade de Economia;9240;Sociologia;LICENCIATURA;14;119
0204;Universidade do Algarve - Faculdade de Economia;9314;Marketing;MESTRADO;1;1
0204;Universidade do Algarve - Faculdade de Economia;M148;Gestão Empresarial;MESTRADO;1;2
0205;Universidade do Algarve - Faculdade de Engenharia de Recursos Naturais;0025;Arquitectura Paisagista;LICENCIATURA;13;109
0205;Universidade do Algarve - Faculdade de Engenharia de Recursos Naturais;0205;Engenharia Agronómica;LICENCIATURA;18;188
0205;Universidade do Algarve - Faculdade de Engenharia de Recursos Naturais;0226;Engenharia Biotecnológica;LICENCIATURA;9;232
0205;Universidade do Algarve - Faculdade de Engenharia de Recursos Naturais;9358;Engenharia Biológica;MESTRADO;1;28
0205;Universidade do Algarve - Faculdade de Engenharia de Recursos Naturais;9592;Ciências de Engenharia Biológica;LICENCIATURA;1;55
0300;Universidade de Aveiro;0003;Administração Pública;LICENCIATURA;7;80
0300;Universidade de Aveiro;0048;Biologia;LICENCIATURA;14;319
0300;Universidade de Aveiro;0054;Biologia e Geologia (Ensino de);LICENCIATURA;56;231
0300;Universidade de Aveiro;0136;Design;LICENCIATURA;35;237
0300;Universidade de Aveiro;0156;Economia;LICENCIATURA;16;253
0300;Universidade de Aveiro;0213;Engenharia do Ambiente;LICENCIATURA;27;316
0300;Universidade de Aveiro;0228;Engenharia Cerâmica e do Vidro;LICENCIATURA;12;74
0300;Universidade de Aveiro;0231;Engenharia de Computadores e Telemática;LICENCIATURA;1;70
0300;Universidade de Aveiro;0233;Engenharia Civil;LICENCIATURA;19;255
0300;Universidade de Aveiro;0244;Engenharia Electrónica e de Telecomunicações;LICENCIATURA;14;499
0300;Universidade de Aveiro;0264;Engenharia Física;LICENCIATURA;1;45
0300;Universidade de Aveiro;0284;Engenharia Geológica;LICENCIATURA;14;54
