CodigoUniversidade;NomeUniversidade;CodigoCurso;NomeCurso;Grau;CodigoArea;1ºEmp<6;1ºEmp6a12;1ºEmp>=12;NovoEmp<6;NovoEmp6a12;NovoEmp>=12;TotalDesempregados;TotalDiplomados
0205;Universidade do Algarve - Faculdade de Engenharia de Recursos Naturais;9358;Engenharia Biológica;MESTRADO;421;;;1;;;;1;28
0205;Universidade do Algarve - Faculdade de Engenharia de Recursos Naturais;9592;Ciências de Engenharia Biológica;LICENCIATURA;421;;;;;;1;1;55
0300;Universidade de Aveiro;0003;Administração Pública;LICENCIATURA;345;;;;3;3;1;7;80
0300;Universidade de Aveiro;0048;Biologia;LICENCIATURA;421;;;1;11;9;10;31;645
0300;Universidade de Aveiro;0054;Biologia e Geologia (Ensino de);LICENCIATURA;145;1;;;53;6;15;75;644
0300;Universidade de Aveiro;0136;Design;LICENCIATURA;214;2;1;1;19;6;8;37;277
0300;Universidade de Aveiro;0156;Economia;LICENCIATURA;314;;;;7;4;6;17;272
0300;Universidade de Aveiro;0182;Educadores de Infância;BACHARELATO;143;;;;4;;1;5;202
0300;Universidade de Aveiro;0213;Engenharia do Ambiente;LICENCIATURA;851;1;1;1;18;14;10;45;672
0300;Universidade de Aveiro;0228;Engenharia Cerâmica e do Vidro;LICENCIATURA;543;;;;10;3;11;24;267
0300;Universidade de Aveiro;0231;Engenharia de Computadores e Telemática;LICENCIATURA;523;;;1;;;;1;70
0300;Universidade de Aveiro;0233;Engenharia Civil;LICENCIATURA;582;;;;12;5;2;19;258
0300;Universidade de Aveiro;0244;Engenharia Electrónica e de Telecomunicações;LICENCIATURA;523;;;1;17;7;14;39;1521
0300;Universidade de Aveiro;0264;Engenharia Física;LICENCIATURA;441;;;;2;1;;3;93
0300;Universidade de Aveiro;0284;Engenharia Geológica;LICENCIATURA;443;;1;;12;5;7;25;225
0300;Universidade de Aveiro;0290;Engenharia e Gestão Industrial;LICENCIATURA;529;;;;17;12;20;49;671
0300;Universidade de Aveiro;0302;Engenharia de Materiais;LICENCIATURA;543;;;;2;3;5;10;112
0300;Universidade de Aveiro;0304;Engenharia Mecânica;LICENCIATURA;521;;;;4;;2;6;219
0300;Universidade de Aveiro;0331;Engenharia Química;LICENCIATURA;524;1;;1;6;2;4;14;170
0300;Universidade de Aveiro;0374;Física;LICENCIATURA;441;;;1;1;;;2;69
0300;Universidade de Aveiro;0383;Física e Química (Ensino de);LICENCIATURA;145;;;;44;10;19;73;409
0300;Universidade de Aveiro;0416;Gestão;LICENCIATURA;345;;;;3;1;2;6;67
0300;Universidade de Aveiro;0448;Gestão e Planeamento em Turismo;LICENCIATURA;812;;;;7;6;9;22;286
0300;Universidade de Aveiro;0494;Inglês e Alemão (Ensino de);LICENCIATURA;145;;;;22;4;5;31;465
0300;Universidade de Aveiro;0559;Matemática;LICENCIATURA;461;;;;2;;3;5;98
