CodigoFaculdade;CodigoCurso;Nota
6800;9448;119,5
6800;9885;130,5
6800;9927;117
6800;L030;149
7001;9500;131,4
7002;9500;134,8
7003;9500;150,3
7005;8138;111,4
7005;9500;109,6
7010;9500;143
7015;8149;101,5
7015;9500;119,7
7015;9501;98,7
7015;9549;96
7015;9833;
7015;L068;104,6
7020;9500;115,2
7020;9504;141,5
7020;L066;95
7020;L067;117,3
7020;L068;107,8
7030;9500;120,1
7035;8149;100
7035;8152;
7035;9500;128,7
7035;9549;106,6
7035;L066;122,2
7035;L068;113
7040;9500;117,4
7040;9549;112,6
7045;8138;105
7045;8142;120,8
7045;9500;124,6
7045;9504;142
7045;9890;111,8
7045;L108;
7055;9500;96
7055;9556;109,7
7065;9500;114
7075;9500;124
7080;9500;129,8
7085;9500;126,4
7092;9500;108,7
7093;9500;119,1
7105;8077;
7105;9745;114,6
7105;9747;143,4
7105;9789;141,2
7105;9924;118,7
7105;9926;129,3
7105;L118;118,3
7110;8011;106,2
7110;9076;146,8
7110;9163;143,4
7110;9177;145,8
7110;9183;129
7110;9217;125
7110;9875;131
7110;9995;124,2
7110;9996;131,6
7210;8141;105,2
7210;8149;140,7
7210;8489;
7210;9504;153,3
7210;9549;124,6
7210;9861;97
7210;L066;126,9
7210;L067;130,6
7210;L068;135,8
7220;8143;109
7220;8149;146,4
7220;8152;95
7220;9504;155,6
7220;9549;129,4
7220;9861;106
7220;L066;124,5
7220;L067;137,5
7220;L068;140,6
7230;8138;123,5
7230;8141;115
7230;8143;122
7230;9504;157,5
7230;9549;129,3
7230;9861;104
7230;9890;118,5
7230;L066;129
7230;L067;131,5
7230;L068;141,5
7230;L101;151,5
7230;L136;132
