CodigoUniversidade;NomeUniversidade;CodigoCurso;NomeCurso;Grau;CodigoArea;1ºEmp<6;1ºEmp6a12;1ºEmp>=12;NovoEmp<6;NovoEmp6a12;NovoEmp>=12;TotalDesempregados;TotalDiplomados
0300;Universidade de Aveiro;4970;Energia e Gestão do Ambiente;MESTRADO;851;;;;;;1;1;12;
0300;Universidade de Aveiro;5050;Biologia;DOUTORAMENTO;421;;;1;;1;;2;109;
0300;Universidade de Aveiro;5108;Ciências Aplicadas ao Ambiente;DOUTORAMENTO;422;;;;;1;;1;50;
0300;Universidade de Aveiro;5140;Ciências da Educação;DOUTORAMENTO;142;;;;;;1;1;47;
0300;Universidade de Aveiro;5146;Engenharia Química;DOUTORAMENTO;524;;;;1;;;1;3;
0300;Universidade de Aveiro;5229;Química;DOUTORAMENTO;442;1;;;;;;1;18;
0300;Universidade de Aveiro;5236;Didáctica;DOUTORAMENTO;142;;;;;;1;1;75;
0300;Universidade de Aveiro;5360;Física;DOUTORAMENTO;441;;;;;;1;1;62;
0300;Universidade de Aveiro;5365;Geociências;DOUTORAMENTO;443;;;;;2;;2;42;
0300;Universidade de Aveiro;5435;Literatura;DOUTORAMENTO;225;;;;1;;;1;32;
0300;Universidade de Aveiro;5571;Design;DOUTORAMENTO;214;;;;1;;;1;3;
0300;Universidade de Aveiro;5591;Informação e Comunicação em Plataformas Digitais;DOUTORAMENTO;481;;;;1;;;1;1;
0300;Universidade de Aveiro;5609;Didáctica e Formação;DOUTORAMENTO;142;;;;1;;;1;16;
0300;Universidade de Aveiro;5720;Química;DOUTORAMENTO;442;1;;;1;1;;3;115;
0300;Universidade de Aveiro;5744;Ciências e Engenharia do Ambiente;DOUTORAMENTO;422;;;;1;;;1;2;
0300;Universidade de Aveiro;6005;Administração e Gestão Pública;MESTRADO;345;3;1;1;;2;2;9;57;
0300;Universidade de Aveiro;6027;Ciência e Engenharia de Materiais;MESTRADO;543;;;;1;;;1;9;
0300;Universidade de Aveiro;6031;Ciências da Educação;MESTRADO;142;;;;4;4;;8;169;
0300;Universidade de Aveiro;6063;Criação Artística Contemporânea;MESTRADO;211;;;;1;1;3;5;39;
0300;Universidade de Aveiro;6136;Geomateriais e Recursos Geológicos;MESTRADO;443;;1;1;;;1;3;10;
0300;Universidade de Aveiro;6137;Gerontologia;MESTRADO;723;;;;1;;;1;70;
0300;Universidade de Aveiro;6152;Gestão e Planeamento em Turismo;MESTRADO;812;2;;1;1;;1;5;54;
0300;Universidade de Aveiro;6183;Línguas, Literaturas e Culturas;MESTRADO;222;;;;1;;1;2;68;
0300;Universidade de Aveiro;6242;Sistemas Energéticos Sustentáveis;MESTRADO;851;2;;;2;;;4;22;
0300;Universidade de Aveiro;6408;Comunicação Multimédia;MESTRADO;213;3;1;1;1;1;1;8;109;
0300;Universidade de Aveiro;6430;Tradução Especializada;MESTRADO;222;1;;2;1;;1;5;40;
0300;Universidade de Aveiro;6431;Planeamento Regional e Urbano;MESTRADO;581;1;1;;;;;2;15;
0300;Universidade de Aveiro;6432;Meteorologia e Oceanografia Física;MESTRADO;443;2;;;1;;;3;29;
0300;Universidade de Aveiro;6434;Biomedicina Molecular;MESTRADO;721;1;1;;;1;;3;28;
0300;Universidade de Aveiro;6435;Línguas e Relações Empresariais;MESTRADO;347;;1;;5;;;6;59;
0300;Universidade de Aveiro;6436;Ensino de Artes Visuais no 3.º Ciclo do Ensino Básico e Ensino Secundário;MESTRADO;145;;2;;3;;4;9;50;
0300;Universidade de Aveiro;6440;Estudos Editoriais;MESTRADO;213;1;;;2;;;3;43;
0300;Universidade de Aveiro;6441;Materiais Derivados de Recursos Renováveis;MESTRADO;524;;;;;1;;1;31;
0300;Universidade de Aveiro;6442;Engenharia de Automação Industrial;MESTRADO;523;;;;;1;;1;5;
0300;Universidade de Aveiro;6449;Ensino de Biologia e de Geologia no 3.º C do Ens Básico e no Ens Secundário;MESTRADO;145;;;;;2;1;3;10;
0300;Universidade de Aveiro;6451;Ensino de Matemática no 3.º C. do Ensino Básico e no Secundário;MESTRADO;145;;;1;;1;;2;9;
0300;Universidade de Aveiro;6452;Ensino de Física e Química no 3º C. do Ensino Básico e no Ensino Secundário;MESTRADO;145;;;;1;;;1;4;
0300;Universidade de Aveiro;6603;Gestão da Tecnologia, Inovação e Conhecimento;MESTRADO;345;1;;;;;;1;6;
0300;Universidade de Aveiro;6621;Materiais e Dispositivos Biomédicos;MESTRADO;524;2;2;;1;1;;6;15;
0300;Universidade de Aveiro;6686;Sistemas de Informação;MESTRADO;481;1;;;;;;1;4;
0300;Universidade de Aveiro;6915;Educação Pré-Escolar e Ensino do 1.º Ciclo do Ensino Básico;MESTRADO;144;3;;2;1;1;2;9;42;
0300;Universidade de Aveiro;6925;Ensino do 1.º e do 2.º Ciclo do Ensino Básico;MESTRADO;144;1;1;;4;;;6;7;
0300;Universidade de Aveiro;8507;Ciências da Engenharia Civil;LICENCIATURA;582;2;1;;1;1;;5;38;
0300;Universidade de Aveiro;9002;Administração Pública;LICENCIATURA;345;14;5;7;4;5;2;37;218;
0300;Universidade de Aveiro;9011;Biologia;LICENCIATURA;421;7;1;5;1;1;1;16;230;
0300;Universidade de Aveiro;9012;Biologia e Geologia;LICENCIATURA;421;2;;1;;;1;4;50;
0300;Universidade de Aveiro;9015;Bioquímica;LICENCIATURA;421;5;1;2;3;1;1;13;172;
0300;Universidade de Aveiro;9016;Biotecnologia;LICENCIATURA;524;1;;1;1;;1;4;102;
0300;Universidade de Aveiro;9069;Design;LICENCIATURA;214;22;2;7;5;3;3;42;246;
0300;Universidade de Aveiro;9081;Economia;LICENCIATURA;314;12;2;5;6;2;7;34;278;
0300;Universidade de Aveiro;9096;Engenharia de Materiais;LICENCIATURA;543;2;;;;;;2;85;
0300;Universidade de Aveiro;9099;Engenharia do Ambiente;LICENCIATURA;851;10;;2;4;;1;17;219;
0300;Universidade de Aveiro;9104;Engenharia e Gestão Industrial;LICENCIATURA;529;6;2;1;2;;;11;339;
0300;Universidade de Aveiro;9113;Engenharia Física;LICENCIATURA;441;;;;1;;;1;37;
0300;Universidade de Aveiro;9116;Engenharia Geológica;LICENCIATURA;443;1;;;;;;1;52;
0300;Universidade de Aveiro;9133;Estudos Clássicos;LICENCIATURA;222;;;;;;1;1;4;
0300;Universidade de Aveiro;9147;Gestão;LICENCIATURA;345;5;2;5;5;2;1;20;222;
0300;Universidade de Aveiro;9194;Línguas e Estudos Editoriais;LICENCIATURA;222;3;;2;3;;3;11;72;
0300;Universidade de Aveiro;9196;Línguas e Relações Empresariais;LICENCIATURA;347;10;1;3;5;;3;22;204;
0300;Universidade de Aveiro;9204;Línguas, Literaturas e Culturas;LICENCIATURA;222;;1;2;5;5;1;14;111;
0300;Universidade de Aveiro;9209;Matemática;LICENCIATURA;461;;;;1;;1;2;69;
0300;Universidade de Aveiro;9212;Meteorologia, Oceanografia e Geofísica;LICENCIATURA;443;;;;;1;1;2;44;
0300;Universidade de Aveiro;9214;Música;LICENCIATURA;212;;;;1;;;1;122;
