Código da instituição;Código do curso;Nome da instituição;Nome do curso;Grau académico;Vagas Iniciais;Estudantes colocados;Nota de candidatura do último colocado pelo contingente geral;Vagas sobrantes
0602;9119;Universidade de Évora - Escola de Ciências e Tecnologia;Engenharia Informática;L1;40;40;121,7;0
0602;9143;Universidade de Évora - Escola de Ciências e Tecnologia;Geografia;L1;20;16;98,0;4
0602;9146;Universidade de Évora - Escola de Ciências e Tecnologia;Geologia;L1;20;2;120,8;18
0602;9210;Universidade de Évora - Escola de Ciências e Tecnologia;Matemática Aplicada à Economia e à Gestão;L1;30;25;113,0;5
0602;9223;Universidade de Évora - Escola de Ciências e Tecnologia;Química;L1;20;3;122,1;17
0602;9707;Universidade de Évora - Escola de Ciências e Tecnologia;Ciências do Desporto;L1;40;43;122,1;0
0602;9751;Universidade de Évora - Escola de Ciências e Tecnologia;Engenharia Mecatrónica;L1;27;16;121,1;11
0602;9818;Universidade de Évora - Escola de Ciências e Tecnologia;Ciência e Tecnologia Animal;L1;38;28;108,8;10
0602;9841;Universidade de Évora - Escola de Ciências e Tecnologia;Reabilitação Psicomotora;L1;27;27;106,1;0
0602;9847;Universidade de Évora - Escola de Ciências e Tecnologia;Medicina Veterinária;MI;50;50;156,0;0
0602;9910;Universidade de Évora - Escola de Ciências e Tecnologia;Engenharia de Energias Renováveis;L1;20;1;148,2;19
0602;L090;Universidade de Évora - Escola de Ciências e Tecnologia;Ecologia e Ambiente;L1;20;2;128,4;18
0603;9069;Universidade de Évora - Escola de Artes;Design;L1;30;32;135,0;0
0603;9243;Universidade de Évora - Escola de Artes;Teatro;L1;20;20;126,6;0
0603;9257;Universidade de Évora - Escola de Artes;Arquitetura;MI;50;28;114,3;22
0603;9684;Universidade de Évora - Escola de Artes;Artes Visuais - Multimédia;L1;40;41;126,6;0
0604;8251;Universidade de Évora - Escola de Ciências Sociais;História e Arqueologia;L1;20;20;114,8;0
0604;9026;Universidade de Évora - Escola de Ciências Sociais;Ciências da Educação;L1;22;23;100,3;0
0604;9081;Universidade de Évora - Escola de Ciências Sociais;Economia;L1;37;37;120,8;0
0604;9147;Universidade de Évora - Escola de Ciências Sociais;Gestão;L1;65;65;128,7;0
0604;9219;Universidade de Évora - Escola de Ciências Sociais;Psicologia;L1;45;46;140,5;0
0604;9229;Universidade de Évora - Escola de Ciências Sociais;Relações Internacionais;L1;51;52;129,3;0
0604;9240;Universidade de Évora - Escola de Ciências Sociais;Sociologia;L1;30;31;122,3;0
0604;9254;Universidade de Évora - Escola de Ciências Sociais;Turismo;L1;27;27;134,1;0
