NomeFaculdade;CodigoFaculdade;NomeCurso;CodigoCurso;Grau;TotalDesempregados;TotalDiplomados
Universidade de Aveiro;0300;Educação em Ciências no 1.º Ciclo do Ensino Básico;4297;M;1;43
Universidade de Aveiro;0300;Estudos Chineses;4314;M;1;16
Universidade de Aveiro;0300;Estudos Ingleses;4331;M;2;54
Universidade de Aveiro;0300;Física Aplicada;4397;M;2;30
Universidade de Aveiro;0300;Gestão e Políticas Ambientais;4448;M;1;30
Universidade de Aveiro;0300;Gestão Curricular;4453;M;2;36
Universidade de Aveiro;0300;Gestão de Operações;4459;M;1;30
Universidade de Aveiro;0300;Gestão e Desenvolvimento em Turismo;4460;M;2;74
Universidade de Aveiro;0300;Gestão da Informação;4491;M;2;64
Universidade de Aveiro;0300;Inovação e Políticas de Desenvolvimento;4557;M;1;15
Universidade de Aveiro;0300;Educação em Línguas no 1.º Ciclo do Ensino Básico;4623;M;1;16
Universidade de Aveiro;0300;Multimédia em Educação;4626;M;3;104
Universidade de Aveiro;0300;Matemática;4660;M;1;72
Universidade de Aveiro;0300;Métodos Biomoleculares Avançados;4675;M;1;30
Universidade de Aveiro;0300;Microbiologia Molecular;4699;M;1;42
Universidade de Aveiro;0300;Minerais e Rochas Industriais;4707;M;2;33
Universidade de Aveiro;0300;Química e Qualidade dos Alimentos;4767;M;1;16
Universidade de Aveiro;0300;Química de Produtos Naturais e Alimentos;4775;M;1;18
Universidade de Aveiro;0300;Supervisão;4854;M;1;56
Universidade de Aveiro;0300;Toxicologia;4886;M;4;38
Universidade de Aveiro;0300;Criação Artística Contemporânea;4940;M;3;15
Universidade de Aveiro;0300;Energia e Gestão do Ambiente;4970;M;1;12
Universidade de Aveiro;0300;Biologia;5050;D;1;94
Universidade de Aveiro;0300;Ciências Aplicadas ao Ambiente;5108;D;1;33
Universidade de Aveiro;0300;Ciências da Educação;5140;D;1;41
Universidade de Aveiro;0300;Engenharia Química;5146;D;1;3
Universidade de Aveiro;0300;Química;5229;D;1;18
Universidade de Aveiro;0300;Didáctica;5236;D;1;63
Universidade de Aveiro;0300;Física;5360;D;1;45
Universidade de Aveiro;0300;Design;5571;D;1;3
Universidade de Aveiro;0300;Informação e Comunicação em Plataformas Digitais;5591;D;1;1
Universidade de Aveiro;0300;Didáctica e Formação;5609;D;1;16
Universidade de Aveiro;0300;Química;5720;D;3;79
Universidade de Aveiro;0300;Ciências e Engenharia do Ambiente;5744;D;1;2
Universidade de Aveiro;0300;Administração e Gestão Pública;6005;M;9;57
Universidade de Aveiro;0300;Ciência e Engenharia de Materiais;6027;M;1;9
Universidade de Aveiro;0300;Ciências da Educação;6031;M;8;169
Universidade de Aveiro;0300;Criação Artística Contemporânea;6063;M;5;39
Universidade de Aveiro;0300;Geomateriais e Recursos Geológicos;6136;M;3;10
Universidade de Aveiro;0300;Gerontologia;6137;M;1;70
Universidade de Aveiro;0300;Gestão e Planeamento em Turismo;6152;M;5;54
Universidade de Aveiro;0300;Línguas, Literaturas e Culturas;6183;M;2;68
Universidade de Aveiro;0300;Sistemas Energéticos Sustentáveis;6242;M;4;22
Universidade de Aveiro;0300;Comunicação Multimédia;6408;M;8;109
Universidade de Aveiro;0300;Tradução Especializada;6430;M;5;40
Universidade de Aveiro;0300;Planeamento Regional e Urbano;6431;M;2;15
Universidade de Aveiro;0300;Meteorologia e Oceanografia Física;6432;M;3;29
Universidade de Aveiro;0300;Biomedicina Molecular;6434;M;3;28
Universidade de Aveiro;0300;Línguas e Relações Empresariais;6435;M;6;59
Universidade de Aveiro;0300;Ensino de Artes Visuais no 3.º Ciclo do Ensino Básico e Ensino Secundário;6436;M;9;50
Universidade de Aveiro;0300;Estudos Editoriais;6440;M;3;43
Universidade de Aveiro;0300;Materiais Derivados de Recursos Renováveis;6441;M;1;31
Universidade de Aveiro;0300;Engenharia de Automação Industrial;6442;M;1;5
Universidade de Aveiro;0300;Ensino de Biologia e de Geologia no 3.º C do Ens Básico e no Ens Secundário;6449;M;3;10
Universidade de Aveiro;0300;Ensino de Matemática no 3.º C. do Ensino Básico e no Secundário;6451;M;2;9
Universidade de Aveiro;0300;Ensino de Física e Química no 3º C. do Ensino Básico e no Ensino Secundário;6452;M;1;4
Universidade de Aveiro;0300;Gestão da Tecnologia, Inovação e Conhecimento;6603;M;1;6
Universidade de Aveiro;0300;Materiais e Dispositivos Biomédicos;6621;M;6;15
Universidade de Aveiro;0300;Sistemas de Informação;6686;M;1;4
Universidade de Aveiro;0300;Educação Pré-Escolar e Ensino do 1.º Ciclo do Ensino Básico;6915;M;9;42
Universidade de Aveiro;0300;Ensino do 1.º e do 2.º Ciclo do Ensino Básico;6925;M;6;7
Universidade de Aveiro;0300;Ciências da Engenharia Civil;8507;L;5;38
Universidade de Aveiro;0300;Administração Pública;9002;L;37;218
Universidade de Aveiro;0300;Biologia;9011;L;16;230
Universidade de Aveiro;0300;Biologia e Geologia;9012;L;4;50
Universidade de Aveiro;0300;Bioquímica;9015;L;13;172
Universidade de Aveiro;0300;Biotecnologia;9016;L;4;102
