NomeFaculdade;CodigoFaculdade;NomeCurso;CodigoCurso;Grau;CNAEF_3D_Nome;A2006_Total;A2007_Total;A2008_Total;A2009_Total;A2010_Total;A2011_Total;A2012_Total;A2013_Total;A2014_Total;A2015_Total;TotalDesempregados;Dip_2005;Dip_2006;Dip_2007;Dip_2008;Dip_2009;Dip_2010;Dip_2011;Dip_2012;Dip_2013;Dip_2014;TotalDiplomados
Universidade dos Açores - Ponta Delgada;0130;História e Ciências Sociais (ensino de);0462;L;Formação de Professores de Áreas Disciplinares Específicas;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;0
Universidade dos Açores - Ponta Delgada;0130;Línguas e Literaturas Modernas, variante de Estudos Portugueses e Franceses;0536;L;Línguas e Literaturas Estrangeiras;0;0;0;0;0;0;0;0;0;0;0;3;1;1;;;;;;;;5
Universidade dos Açores - Ponta Delgada;0130;Línguas e Literaturas Modernas, variante de Estudos Portugueses e Ingleses;0538;L;Línguas e Literaturas Estrangeiras;0;0;0;0;0;0;0;0;0;0;0;11;12;2;1;;;;;;;26
Universidade dos Açores - Ponta Delgada;0130;Matemática (Ensino de);0560;L;Formação de Professores de Áreas Disciplinares Específicas;0;0;0;0;0;0;0;0;0;0;0;17;14;7;;5;;;;;;43
Universidade dos Açores - Ponta Delgada;0130;Português e Francês (Ensino de);0630;L;Formação de Professores de Áreas Disciplinares Específicas;0;0;0;0;0;0;0;0;0;0;0;9;3;3;1;;;;;;;16
Universidade dos Açores - Ponta Delgada;0130;Serviço Social;0755;L;Trabalho Social e Orientação;0;1;1;0;0;0;0;0;0;0;2;27;32;27;22;;;;;;;108
Universidade dos Açores - Ponta Delgada;0130;Sociologia;0759;L;Sociologia e Outros Estudos;0;0;1;0;0;0;0;0;0;0;1;8;14;31;20;1;;;;;;74
Universidade dos Açores - Ponta Delgada;0130;Estudos Portugueses;0867;L;Língua e Literatura Materna;0;0;0;0;0;0;0;0;0;0;0;1;2;1;;;;;;;;4
Universidade dos Açores - Ponta Delgada;0130;Gestão Estratégica e Desenvolvimento do Turismo;4435;M;Turismo e Lazer;1;0;0;0;0;0;0;0;0;0;1;2;2;;;;;;;;;4
Universidade dos Açores - Ponta Delgada;0130;Ordenamento do Território e Planeamento Ambiental;4712;M;Tecnologia de Protecção do Ambiente;0;1;0;0;0;0;0;0;0;0;1;;;2;;;9;;;;;11
Universidade dos Açores - Ponta Delgada;0130;Biologia;5050;D;Biologia e Bioquímica;1;0;0;0;0;0;0;0;0;0;1;;3;1;;3;6;4;6;8;;31
Universidade dos Açores - Ponta Delgada;0130;Filosofia Contemporânea - Valores e Sociedade;6129;M;Filosofia e Ética;0;0;0;0;0;1;0;0;0;0;1;;;;;;6;1;;;;7
Universidade dos Açores - Ponta Delgada;0130;Biologia;9011;L1;Biologia e Bioquímica;0;0;0;0;0;0;0;0;0;1;1;;;2;13;19;12;14;14;19;11;104
Universidade dos Açores - Ponta Delgada;0130;Biologia;9011;L1;Biologia e Bioquímica;0;0;0;0;0;0;0;0;0;1;1;;;2;13;19;12;14;14;19;11;104
Universidade dos Açores - Ponta Delgada;0130;História;9181;L1;História e Arqueologia;0;0;0;0;0;0;1;0;0;0;1;;;;;;;;18;9;;27
Universidade dos Açores - Ponta Delgada;0130;Psicologia;9219;L1;Psicologia;0;0;0;0;0;0;1;0;0;0;1;;;;;20;30;29;29;19;31;158
Universidade dos Açores - Ponta Delgada;0130;Turismo;9254;L1;Turismo e Lazer;0;0;0;0;0;0;1;0;0;0;1;;;;;16;23;35;29;23;30;156
Universidade dos Açores - Ponta Delgada;0130;Ciências da Comunicação;9272;M;Jornalismo e Reportagem;0;0;0;0;0;0;1;0;0;0;1;;;;;;;;1;4;;5
Universidade dos Açores - Ponta Delgada;0130;Ciências Biológicas e da Saúde;9699;L1;Biologia e Bioquímica;0;0;0;0;0;1;0;0;0;0;1;;;;17;14;15;30;15;14;9;114
Universidade dos Açores - Ponta Delgada;0130;Comunicação Social e Cultura;9718;L1;Jornalismo e Reportagem;0;0;0;0;1;1;0;0;0;0;2;;;2;16;18;17;20;15;17;16;121
Universidade dos Açores - Ponta Delgada;0130;Estudos Europeus e Política Internacional;9756;L1;Ciência Política e Cidadania;0;0;0;0;0;1;0;1;0;1;3;;;21;13;9;9;14;13;18;17;114
Universidade dos Açores - Ponta Delgada;0130;Património Cultural;9787;L1;História e Arqueologia;0;0;0;0;0;1;0;0;0;0;1;;;;7;12;19;14;4;;7;63
Universidade dos Açores - Ponta Delgada;0130;Educação Básica;9853;L1;Formação de Professores do Ensino Básico (1.º e 2.º Ciclos);0;0;0;0;0;0;0;1;1;0;2;;;;5;35;48;40;37;37;51;253
Universidade do Algarve;0200;Biologia Marinha e Pescas;0057;L;Biologia e Bioquímica;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;0
Universidade do Algarve;0200;Bioquímica;0063;L;Biologia e Bioquímica;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;0
Universidade do Algarve;0200;Economia;0156;L;Economia;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;0
Universidade do Algarve;0200;Engenharia Agronómica;0205;L;Produção Agrícola e Animal;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;0
Universidade do Algarve;0200;Engenharia do Ambiente;0213;L;Tecnologia de Protecção do Ambiente;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;0
Universidade do Algarve;0200;Gestão de Empresas;0441;L;Gestão e Administração;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;0
Universidade do Algarve;0200;Informática - Gestão;0487;L;Ciências Informáticas;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;0
Universidade do Algarve;0200;Línguas e Literaturas Modernas, variante de Estudos Portugueses e Franceses;0536;L;Línguas e Literaturas Estrangeiras;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;0
Universidade do Algarve;0200;Línguas e Lit. Modernas, var de Estudos Portugueses e Franceses (ensino de);0537;L;Formação de Professores de Áreas Disciplinares Específicas;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;0
Universidade do Algarve;0200;Línguas e Literaturas Modernas, variante de Estudos Portugueses e Ingleses;0538;L;Línguas e Literaturas Estrangeiras;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;0
Universidade do Algarve;0200;Línguas e Lit. Modernas, var. de Estudos Portugueses e Ingleses (ensino de);0539;L;Formação de Professores de Áreas Disciplinares Específicas;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;0
Universidade do Algarve;0200;Estudos Portugueses;0867;L;Língua e Literatura Materna;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;0
Universidade do Algarve;0200;Aquacultura;4015;M;Pescas;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;0
Universidade do Algarve;0200;Ciências Biomédicas;5573;D;Medicina;0;0;0;0;0;0;0;0;0;1;1;;;;;;;;3;;4;7
Universidade do Algarve;0200;Ciências Biomédicas;9351;L1;Biologia e Bioquímica;0;0;0;0;0;0;2;2;1;4;9;;;;;;;21;40;32;31;124
Universidade do Algarve;0200;Ciências Biomédicas;9512;M;Biologia e Bioquímica;0;0;0;0;0;0;2;1;2;0;5;;;;;4;7;16;18;6;16;67
Universidade do Algarve;0200;Ciências Biomédicas;9512;M;Biologia e Bioquímica;0;0;0;1;0;0;0;0;0;0;1;;;;;4;7;16;18;6;16;67
Universidade do Algarve;0200;Artes Visuais;9817;L1;Belas-Artes;0;0;1;3;3;0;0;0;0;0;7;;;;10;23;24;;1;;;58
Universidade do Algarve - Faculdade de Ciências Humanas e Sociais;0201;Línguas e Literaturas Modernas, variante de Estudos Franceses e Ingleses;0524;L;Línguas e Literaturas Estrangeiras;0;0;0;0;0;0;0;0;0;0;0;1;;1;;;;;;;;2
