SubsistemaDeEnsino;CodigoUniversidade;NomeUniversidade;CodigoCurso;NomeCurso;Grau;1ºEmp<6;1ºEmp6a12;1ºEmp>=12;NovoEmp<6;NovoEmp6a12;NovoEmp>=12;1997-1998 a 2001-2002;2002-2003;2003-2004;2004-2005;2005-2006;2006-2007;Total
Ensino superior público - universitário;0300;Universidade de Aveiro;0228;Engenharia Cerâmica e do Vidro;Licenciatura;2;;9;4;15;53;14;11;8;11;6;103
Ensino superior público - universitário;0300;Universidade de Aveiro;0231;Engenharia de Computadores e Telemática;Licenciatura;2;;2;;4;0;3;11;8;23;25;70
Ensino superior público - universitário;0300;Universidade de Aveiro;0233;Engenharia Civil;Licenciatura;5;3;6;1;15;20;28;41;45;52;47;233
Ensino superior público - universitário;0300;Universidade de Aveiro;0244;Engenharia Electrónica e de Telecomunicações;Licenciatura;5;;17;3;25;323;87;94;65;82;95;746
Ensino superior público - universitário;0300;Universidade de Aveiro;0264;Engenharia Física;Licenciatura;1;;1;;2;36;7;8;4;11;12;78
Ensino superior público - universitário;0300;Universidade de Aveiro;0284;Engenharia Geológica;Licenciatura;;1;12;1;14;51;12;9;9;5;10;96
Ensino superior público - universitário;0300;Universidade de Aveiro;0290;Engenharia e Gestão Industrial;Licenciatura;6;3;41;4;54;170;58;59;62;57;44;450
Ensino superior público - universitário;0300;Universidade de Aveiro;0302;Engenharia de Materiais;Licenciatura;3;;4;2;9;41;10;16;11;10;8;96
Ensino superior público - universitário;0300;Universidade de Aveiro;0304;Engenharia Mecânica;Licenciatura;;;6;1;7;60;35;28;32;26;37;218
Ensino superior público - universitário;0300;Universidade de Aveiro;0331;Engenharia Química;Licenciatura;7;2;11;2;22;27;21;26;24;33;34;165
Ensino superior público - universitário;0300;Universidade de Aveiro;0374;Física;Licenciatura;1;1;;;2;15;;4;;4;4;27
Ensino superior público - universitário;0300;Universidade de Aveiro;0383;Física e Química (Ensino de);Licenciatura;2;2;6;;10;85;35;38;43;21;20;242
Ensino superior público - universitário;0300;Universidade de Aveiro;0416;Gestão;Licenciatura;11;;5;;16;0;;;4;15;27;46
Ensino superior público - universitário;0300;Universidade de Aveiro;0448;Gestão e Planeamento em Turismo;Licenciatura;1;1;10;2;14;69;21;22;11;36;18;177
Ensino superior público - universitário;0300;Universidade de Aveiro;0494;Inglês e Alemão (Ensino de);Licenciatura;;;3;;3;117;30;23;26;21;8;225
Ensino superior público - universitário;0300;Universidade de Aveiro;0559;Matemática;Licenciatura;;;;1;1;7;;;;;;7
Ensino superior público - universitário;0300;Universidade de Aveiro;0560;Matemática (Ensino de);Licenciatura;4;;9;1;14;270;52;32;46;44;11;455
Ensino superior público - universitário;0300;Universidade de Aveiro;0568;Matemática Aplicada e Computação;Licenciatura;1;;3;1;5;79;10;25;15;13;18;160
Ensino superior público - universitário;0300;Universidade de Aveiro;0592;Música (Ensino de);Licenciatura;;;1;;1;89;22;21;17;30;19;198
Ensino superior público - universitário;0300;Universidade de Aveiro;0596;Novas Tecnologias da Comunicação;Licenciatura;7;1;14;3;25;89;31;44;28;36;38;266
Ensino superior público - universitário;0300;Universidade de Aveiro;0623;Planeamento Regional e Urbano;Licenciatura;4;1;12;6;23;89;25;35;14;14;12;189
Ensino superior público - universitário;0300;Universidade de Aveiro;0625;Educação de Infância;Licenciatura;10;2;24;6;42;118;42;44;46;46;37;333
Ensino superior público - universitário;0300;Universidade de Aveiro;0630;Português e Francês (Ensino de);Licenciatura;3;;12;3;18;165;36;22;28;14;6;271
Ensino superior público - universitário;0300;Universidade de Aveiro;0633;Português e Inglês (Ensino de);Licenciatura;1;;8;;9;159;33;24;32;24;6;278
Ensino superior público - universitário;0300;Universidade de Aveiro;0636;Português, Latim e Grego (Ensino de);Licenciatura;1;1;10;4;16;117;35;29;25;14;11;231
Ensino superior público - universitário;0300;Universidade de Aveiro;0656;Professores do 1.º ciclo do Ensino Básico;Bacharelato;;;3;3;6;3;;;;;;3
Ensino superior público - universitário;0300;Universidade de Aveiro;0663;Electrónica e Informática (Ensino de);Licenciatura;1;;;1;2;27;12;9;7;9;2;66
Ensino superior público - universitário;0300;Universidade de Aveiro;0685;Professores do Ensino Primário;Bacharelato;;;1;;1;0;;;;;;
Ensino superior público - universitário;0300;Universidade de Aveiro;0705;Química;Licenciatura;5;2;17;5;29;219;25;61;18;13;20;356
Ensino superior público - universitário;0300;Universidade de Aveiro;0707;Ensino Básico - 1.º Ciclo;Licenciatura;4;;20;1;25;114;30;46;32;49;43;314
Ensino superior público - universitário;0300;Universidade de Aveiro;1043;Bioquímica e Química Alimentar;Licenciatura;4;2;7;;13;0;18;;20;19;34;91
Ensino superior público - universitário;0300;Universidade de Aveiro;1525;Línguas e Relações Empresariais;Licenciatura;16;2;8;;26;0;;;26;30;53;109
Ensino superior público - universitário;0300;Universidade de Aveiro;1613;Línguas e Tradução Especializada;Licenciatura;;;1;;1;0;;;;;;
Ensino superior público - universitário;0300;Universidade de Aveiro;1640;Línguas, Literaturas e Culturas;Licenciatura;2;1;2;;5;0;;;2;5;10;17
Ensino superior público - universitário;0300;Universidade de Aveiro;1700;Química Industrial e Gestão;Licenciatura;1;3;1;;5;0;16;;13;19;11;59
Ensino superior público - universitário;0300;Universidade de Aveiro;1772;Tecnologias de Informação e Comunicação;Licenciatura;1;;2;;3;0;;;;15;15;30
Ensino superior público - universitário;0300;Universidade de Aveiro;1776;Técnicos Superiores de Justiça;Bacharelato;2;;1;;3;0;;;;27;29;56
Ensino superior público - universitário;0300;Universidade de Aveiro;2855;Educadores de Infância;Licenciatura;2;;1;2;5;81;38;29;39;7;12;206
Ensino superior público - universitário;0300;Universidade de Aveiro;2857;Professores do 1.º Ciclo do Ensino Básico;Licenciatura;1;;;;1;74;34;36;30;12;18;204
Ensino superior público - universitário;0300;Universidade de Aveiro;4078;Ciências da Educação;Mestrado;;;1;;1;0;;;;;4;4
Ensino superior público - universitário;0300;Universidade de Aveiro;4159;Economia de Empresa;Mestrado;1;;;;1;0;;1;4;2;;7
Ensino superior público - universitário;0300;Universidade de Aveiro;4198;Engenharia Electrónica e de Telecomunicações;Mestrado;2;;;;2;78;10;15;11;7;21;142
Ensino superior público - universitário;0300;Universidade de Aveiro;4267;Design, Materiais e Gestão do Produto;Mestrado;;;1;;1;0;;;5;4;8;17
Ensino superior público - universitário;0300;Universidade de Aveiro;4334;Estudos Portugueses;Mestrado;;;;1;1;23;6;3;6;3;10;51
Ensino superior público - universitário;0300;Universidade de Aveiro;4460;Gestão e Desenvolvimento em Turismo;Mestrado;;;3;;3;0;1;5;6;8;12;32
Ensino superior público - universitário;0300;Universidade de Aveiro;4775;Química de Produtos Naturais e Alimentos;Mestrado;;;1;;1;23;;3;3;3;4;36
Ensino superior público - universitário;0300;Universidade de Aveiro;4784;Planeamento do Território - Inovação e Políticas de Desenvolvimento;Mestrado;1;;;;1;0;;;1;1;1;3
Ensino superior público - universitário;0300;Universidade de Aveiro;4886;Toxicologia;Mestrado;;;;1;1;6;12;5;;5;5;33
Ensino superior público - universitário;0300;Universidade de Aveiro;4921;Gestão da Inovação e do Conhecimento;Mestrado;1;;;;1;0;;;2;4;1;7
Ensino superior público - universitário;0300;Universidade de Aveiro;5140;Ciências da Educação;Doutoramento;;;1;;1;4;3;2;5;7;3;24
Ensino superior público - universitário;0300;Universidade de Aveiro;9002;Administração Pública;Licenciatura;2;1;;;3;0;;;;;;
Ensino superior público - universitário;0300;Universidade de Aveiro;9015;Bioquímica;Licenciatura;5;;;;5;0;;;;;;
Ensino superior público - universitário;0300;Universidade de Aveiro;9069;Design;Licenciatura;3;;;;3;0;;;;;;
Ensino superior público - universitário;0300;Universidade de Aveiro;9081;Economia;Licenciatura;1;;;;1;0;;;;;;
Ensino superior público - universitário;0300;Universidade de Aveiro;9099;Engenharia do Ambiente;Licenciatura;2;;1;;3;0;;;;;;
Ensino superior público - universitário;0300;Universidade de Aveiro;9104;Engenharia e Gestão Industrial;Licenciatura;1;;;;1;0;;;;;;
Ensino superior público - universitário;0300;Universidade de Aveiro;9147;Gestão;Licenciatura;3;;;;3;0;;;;;;
Ensino superior público - universitário;0300;Universidade de Aveiro;9194;Línguas e Estudos Editoriais;Licenciatura;2;;;;2;0;;;;;;
Ensino superior público - universitário;0300;Universidade de Aveiro;9196;Línguas e Relações Empresariais;Licenciatura;3;;;;3;0;;;;;;
Ensino superior público - universitário;0300;Universidade de Aveiro;9209;Matemática;Licenciatura;2;;;;2;0;;;;;;
Ensino superior público - universitário;0300;Universidade de Aveiro;9214;Música;Licenciatura;;;1;;1;0;;;;;;
